Region,Year,Fetal Deaths,Total Livebirths
NCR (Metro Manila),2010,1507,232588
CAR (Cordillera),2010,118,32104
Region 1 (Ilocos),2010,566,95127
Region 2 (Cagayan Valley),2010,177,67958
Region 3 (Central Luzon),2010,523,201479
Region 4A (CALABARZON),2010,1653,241761
Region 4B (MIMAROPA),2010,246,0
Region 5 (Bicol),2010,461,120215
Region 6 (Western Visayas),2010,522,130234
Region 7 (Central Visayas),2010,987,149086
Region 8 (Eastern Visayas),2010,200,91737
Region 9 (Zamboanga Peninsula),2010,188,73413
Region 10 (Northern Mindanao),2010,340,96196
Region 11 (Davao),2010,341,98121
Region 12 (Soccsksargen),2010,160,89904
CARAGA,2010,101,51746
ARMM,2010,5,72674
NCR (Metro Manila),2009,1692,226630
CAR (Cordillera),2009,98,35651
Region 1 (Ilocos),2009,535,95108
Region 2 (Cagayan Valley),2009,138,0
Region 3 (Central Luzon),2009,520,206217
Region 4A (CALABARZON),2009,1536,250120
Region 4B (MIMAROPA),2009,191,0
Region 5 (Bicol),2009,501,116092
Region 6 (Western Visayas),2009,559,132901
Region 7 (Central Visayas),2009,989,0
Region 8 (Eastern Visayas),2009,188,0
Region 9 (Western Mindanao),2009,157,0
Region 10 (Northern Mindanao),2009,347,93865
Region 11 (Southern Mindanao),2009,282,95388
Region 12 (Central Mindanao),2009,206,85546
CARAGA,2009,104,0
ARMM,2009,0,80833
NCR (Metro Manila),2008,1666,220413
CAR (Cordillera),2008,134,33377
Region 1 (Ilocos),2008,596,99426
Region 2 (Cagayan Valley),2008,160,68040
Region 3 (Central Luzon),2008,594,214475
Region 4A (CALABARZON),2008,1513,250091
Region 4B (MIMAROPA),2008,208,56105
Region 5 (Bicol),2008,507,118507
Region 6 (Western Visayas),2008,565,145499
Region 7 (Central Visayas),2008,1002,150300
Region 8 (Eastern Visayas),2008,200,91072
Region 9 (Western Mindanao),2008,179,70624
Region 10 (Northern Mindanao),2008,415,92075
Region 11 (Southern Mindanao),2008,280,93916
Region 12 (Central Mindanao),2008,183,86413
CARAGA,2008,96,47444
ARMM,2008,8,79474
NCR (Metro Manila),2007,1796,224831
CAR (Cordillera),2007,103,30485
Region 1 (Ilocos),2007,521,96468
Region 2 (Cagayan Valley),2007,126,67276
Region 3 (Central Luzon),2007,559,207544
Region 4A (CALABARZON),2007,1545,247365
Region 4B (MIMAROPA),2007,207,51155
Region 5 (Bicol),2007,522,115304
Region 6 (Western Visayas),2007,525,137688
Region 7 (Central Visayas),2007,1052,151096
Region 8 (Eastern Visayas),2007,183,85554
Region 9 (Western Mindanao),2007,161,65192
Region 10 (Northern Mindanao),2007,327,92288
Region 11 (Southern Mindanao),2007,270,90411
Region 12 (Central Mindanao),2007,207,84828
CARAGA,2007,80,41961
ARMM,2007,7,71425
NCR (Metro Manila),2006,2026,219722
CAR (Cordillera),2006,118,30503
Region 1 (Ilocos),2006,572,92845
Region 2 (Cagayan Valley),2006,153,63138
Region 3 (Central Luzon),2006,551,196341
Region 4A (CALABARZON),2006,1447,234467
Region 4B (MIMAROPA),2006,227,51949
Region 5 (Bicol),2006,483,113434
Region 6 (Western Visayas),2006,544,128560
Region 7 (Central Visayas),2006,974,137102
Region 8 (Eastern Visayas),2006,164,78306
Region 9 (Western Mindanao),2006,181,63883
Region 10 (Northern Mindanao),2006,430,89480
Region 11 (Southern Mindanao),2006,290,89626
Region 12 (Central Mindanao),2006,196,76401
CARAGA,2006,87,42245
ARMM,2006,15,67928
NCR (Metro Manila),2005,2550,180454
CAR (Cordillera),2005,165,32196
Region 1 (Ilocos),2005,687,94072
Region 2 (Cagayan Valley),2005,167,64832
Region 3 (Central Luzon),2005,603,192590
Region 4A (CALABARZON),2005,1681,214156
Region 4B (MIMAROPA),2005,252,52666
Region 5 (Bicol),2005,657,118384
Region 6 (Western Visayas),2005,731,133169
Region 7 (Central Visayas),2005,1264,142546
Region 8 (Eastern Visayas),2005,212,91215
Region 9 (Western Mindanao),2005,201,62890
Region 10 (Northern Mindanao),2005,484,95819
Region 11 (Southern Mindanao),2005,307,87960
Region 12 (Central Mindanao),2005,261,74915
CARAGA,2005,118,44301
ARMM,2005,11,65613
NCR (Metro Manila),2004,2193,190525
CAR (Cordillera),2004,143,32507
Region 1 (Ilocos),2004,592,93631
Region 2 (Cagayan Valley),2004,156,63080
Region 3 (Central Luzon),2004,625,199264
Region 4A (CALABARZON),2004,1511,216968
Region 4B (MIMAROPA),2004,256,54574
Region 5 (Bicol),2004,497,114482
Region 6 (Western Visayas),2004,663,133132
Region 7 (Central Visayas),2004,946,135675
Region 8 (Eastern Visayas),2004,211,89397
Region 9 (Western Mindanao),2004,214,62143
Region 10 (Northern Mindanao),2004,393,87272
Region 11 (Southern Mindanao),2004,229,82460
Region 12 (Central Mindanao),2004,206,70652
CARAGA,2004,97,42980
ARMM,2004,3,60062
NCR (Metro Manila),2003,2093,187182
CAR (Cordillera),2003,113,30027
Region 1 (Ilocos),2003,633,90758
Region 2 (Cagayan Valley),2003,144,62674
Region 3 (Central Luzon),2003,647,178748
Region 4A (CALABARZON),2003,1708,237771
Region 4B (MIMAROPA),2003,271,49465
Region 5 (Bicol),2003,575,114009
Region 6 (Western Visayas),2003,424,128590
Region 7 (Central Visayas),2003,1022,132816
Region 8 (Eastern Visayas),2003,208,81337
Region 9 (Western Mindanao),2003,215,64952
Region 10 (Northern Mindanao),2003,417,78825
Region 11 (Southern Mindanao),2003,227,74949
Region 12 (Central Mindanao),2003,176,70834
CARAGA,2003,99,40481
